p,q,q_frac,peff,Neff,bounds,measure
0.03,0.0,0.0,0.013250640152997654,124.0,not fixed,degree
0.03,0.0,0.0,0.008215394852703615,200.0,n Fixed,degree
0.03,0.0,0.0,0.03,55.0,p Fixed,degree
0.03,0.0,0.0,0.02842698462023217,289.0,not fixed,hsize
0.03,0.0,0.0,0.008215395003135168,1000.0,n Fixed,hsize
0.03,0.0,0.0,0.03,274.0,p Fixed,hsize
0.03,0.003,0.1,0.01844353481383312,113.0,not fixed,degree
0.03,0.003,0.1,0.0104205987799425,200.0,n Fixed,degree
0.03,0.003,0.1,0.03,69.0,p Fixed,degree
0.03,0.003,0.1,0.029858448430743915,349.0,not fixed,hsize
0.03,0.003,0.1,0.01042059499933164,1000.0,n Fixed,hsize
0.03,0.003,0.1,0.03,346.0,p Fixed,hsize
0.03,0.006,0.2,0.012709489783488149,198.0,not fixed,degree
0.03,0.006,0.2,0.012582394969633592,200.0,n Fixed,degree
0.03,0.006,0.2,0.03,84.0,p Fixed,degree
0.03,0.006,0.2,0.029058660337183434,433.0,not fixed,hsize
0.03,0.006,0.2,0.012582394992012075,1000.0,n Fixed,hsize
0.03,0.006,0.2,0.03,419.0,p Fixed,hsize
0.03,0.009,0.30000000000000004,0.02182051354548578,135.0,not fixed,degree
0.03,0.009,0.30000000000000004,0.014728845062986702,200.0,n Fixed,degree
0.03,0.009,0.30000000000000004,0.03,98.0,p Fixed,degree
0.03,0.009,0.30000000000000004,0.021820513529101585,675.0,not fixed,hsize
0.03,0.009,0.30000000000000004,0.014728845000919238,1000.0,n Fixed,hsize
0.03,0.009,0.30000000000000004,0.03,491.0,p Fixed,hsize
0.03,0.012,0.4,0.01732832461647673,196.0,not fixed,degree
0.03,0.012,0.4,0.016981694705460265,200.0,n Fixed,degree
0.03,0.012,0.4,0.03,113.0,p Fixed,degree
0.03,0.012,0.4,0.02616594261480201,649.0,not fixed,hsize
0.03,0.012,0.4,0.016981694981908435,1000.0,n Fixed,hsize
0.03,0.012,0.4,0.03,566.0,p Fixed,hsize
0.03,0.015,0.5,0.020606501029845556,186.0,not fixed,degree
0.03,0.015,0.5,0.019164044994775323,200.0,n Fixed,degree
0.03,0.015,0.5,0.03,128.0,p Fixed,degree
0.03,0.015,0.5,0.026543000546636865,722.0,not fixed,hsize
0.03,0.015,0.5,0.019164045035820084,1000.0,n Fixed,hsize
0.03,0.015,0.5,0.03,639.0,p Fixed,hsize
0.03,0.018,0.6000000000000001,0.026327957967678825,162.0,not fixed,degree
0.03,0.018,0.6000000000000001,0.021325645879513935,200.0,n Fixed,degree
0.03,0.018,0.6000000000000001,0.03,142.0,p Fixed,degree
0.03,0.018,0.6000000000000001,0.027876661678401624,765.0,not fixed,hsize
0.03,0.018,0.6000000000000001,0.021282902167842274,1000.0,n Fixed,hsize
0.03,0.018,0.6000000000000001,0.03,711.0,p Fixed,hsize
0.03,0.021,0.7000000000000001,0.02603677281084118,180.0,not fixed,degree
0.03,0.021,0.7000000000000001,0.023433094882287817,200.0,n Fixed,degree
0.03,0.021,0.7000000000000001,0.03,156.0,p Fixed,degree
0.03,0.021,0.7000000000000001,0.023622071684624754,992.0,not fixed,hsize
0.03,0.021,0.7000000000000001,0.02343309504787759,1000.0,n Fixed,hsize
0.03,0.021,0.7000000000000001,0.03,780.0,p Fixed,hsize
0.03,0.024,0.8,0.02656237831644332,193.0,not fixed,degree
0.03,0.024,0.8,0.025632695267092918,200.0,n Fixed,degree
0.03,0.024,0.8,0.03,171.0,p Fixed,degree
0.03,0.024,0.8,0.029979760952695843,855.0,not fixed,hsize
0.03,0.024,0.8,0.025632695020079168,1000.0,n Fixed,hsize
0.03,0.024,0.8,0.03,854.0,p Fixed,hsize
0.03,0.027,0.9,0.028991771704360375,192.0,not fixed,degree
0.03,0.027,0.9,0.027832095128313215,200.0,n Fixed,degree
0.03,0.027,0.9,0.03,186.0,p Fixed,degree
0.03,0.027,0.9,0.02908264914106579,957.0,not fixed,hsize
0.03,0.027,0.9,0.027832094772074545,1000.0,n Fixed,hsize
0.03,0.027,0.9,0.03,928.0,p Fixed,hsize
0.03,0.03,1.0,0.02993499503675423,200.0,not fixed,degree
0.03,0.03,1.0,0.029934995064429898,200.0,n Fixed,degree
0.03,0.03,1.0,0.03,200.0,p Fixed,degree
0.03,0.03,1.0,0.029964961694983402,999.0,not fixed,hsize
0.03,0.03,1.0,0.02993501213083292,1000.0,n Fixed,hsize
0.03,0.03,1.0,0.03,997.0,p Fixed,hsize
0.03,0.0003,0.01,0.02257532834169612,75.0,not fixed,degree
0.03,0.0003,0.01,0.008465744574373109,200.0,n Fixed,degree
0.03,0.0003,0.01,0.03,56.0,p Fixed,degree
0.03,0.0003,0.01,0.029808973889289193,284.0,not fixed,hsize
0.03,0.0003,0.01,0.008465745406091773,1000.0,n Fixed,hsize
0.03,0.0003,0.01,0.03,283.0,p Fixed,hsize
0.03,0.0015,0.05,0.010848048813662895,172.0,not fixed,degree
0.03,0.0015,0.05,0.00932929499550907,200.0,n Fixed,degree
0.03,0.0015,0.05,0.03,62.0,p Fixed,degree
0.03,0.0015,0.05,0.012030996206902143,775.0,not fixed,hsize
0.03,0.0015,0.05,0.009329294986746227,1000.0,n Fixed,hsize
0.03,0.0015,0.05,0.03,311.0,p Fixed,hsize
